Final Letter Grade Rating,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
2,798.00,19760615.00,906.00,145.00,153.00,16,19991231.00,1.86,0,41989.00,4260.00,242.00,20133.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20001231.00,1.62,0,33096.00,585.00,179.00,19903.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20011231.00,1.76,0,39170.00,3691.00,165.00,20018.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20021231.00,2.15,0,43120.00,0.00,45.00,20018.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20031231.00,1.49,0,35337.00,5000.00,75.00,20248.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
1,798.00,19760615.00,906.00,145.00,153.00,16,20041231.00,1.83,9.11,37788.00,398.00,55.00,20350.00,0.00,133960.00,24703.00,6000.00,4000.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20051231.00,1.64,0,35537.00,2030.00,115.00,20363.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20061231.00,1.3,0,31116.00,4500.00,155.00,20350.00,0.00,0.00,0.00,0.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20071231.00,1.86,0.72,41085.00,3098.00,232.00,20350.00,0.00,17935.00,40101.00,15230.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
2,798.00,19760615.00,906.00,145.00,153.00,16,20081231.00,1.26,0.43,29743.00,3901.00,139.00,20363.00,0.00,9683.00,41983.00,19600.00,0.00,9835.00,1086.00,8749.00,0.00,0.00,0.00,8749.00,8749.00,0.00,1.00,5.00,0.00,3982.00,9835.00,8.00,2.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,6.00,1.00,1.00,0.00,0.00
