Final Letter Grade Rating,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
4,105,20101124,151,57,103,13,20081231,0.64,0,178309,0,0,279293,0,0,0,0,0,132960,132960,,,,,102640,102640,,2,6,4,,132960,144,88,51,4,1,0,144,0,0,0,0,1.72,2,48,82,12,0,0,0
1,349,20091204,1178,26,125,13,20101231,32.53,2.69,1074570,5010,309,32869,0,1167161,2266185,1832655,0,199384,25799,173585,0,0,0,169824,169824,,8,3,0,611723,199384,216,209,0,7,0,0,216,0,0,1,0,2.11,0,42,108,66,0,0,0
1,1384,20090203,955,122,50,15,20091231,1.28,2.01,101904,0,2434,77886,0,594014,300389,4732,0,58692,11640,47052,,,,36831,36831,0,2,4,2,51102,58692,38,38,0,0,0,0,38,0,0,2,0,2.03,0,9,23,2,4,0,0
1,1384,20090203,955,122,50,15,20101231,1.32,3.6,168779,24497,1846,108090,0,611359,174728,5125,0,58692,11640,47052,,,,36831,36831,0,2,4,2,51102,58692,38,38,0,0,0,0,38,0,0,2,0,2.03,0,9,23,2,4,0,0
1,1383,20081218,1021,122,50,15,20091231,1.62,2.89,388685,0,5705,235754,0,1053108,372045,7752,0,97208,20694,76514,,,246,61388,61388,0,2,3,2,,97454,90,90,0,0,0,90,0,0,0,7,0,1.37,0,57,33,0,0,0,0
1,1383,20081218,1021,122,50,15,20101231,1.55,2.87,256076,50088,2371,130958,0,1039667,371171,8329,0,97208,20694,76514,,,246,61388,61388,0,2,3,2,,97454,90,90,0,0,0,90,0,0,0,7,0,1.37,0,57,33,0,0,0,0
3,627,20070627,447,149,156,9,20091231,0.92,0.93,1416084,42821,487,1499699,0,425804,584675,127212,0,350216,58263,291953,,,,268228,268228,,1,4,3,,350216,173,35,0,138,0,0,173,0,0,0,0,0,173,0,0,0,0,0,0
3,627,20070627,447,149,156,9,20101231,0.99,0.89,1498109,36710,293,1482574,0,314724,487886,135395,0,350216,58263,291953,,,,268228,268228,,1,4,3,,350216,173,35,0,138,0,0,173,0,0,0,0,0,173,0,0,0,0,0,0
4,592,20060621,588,278,119,4,20091231,0.84,0.85,1582175,40843,1209,1836690,0,316465,633453,261934,0,222923,31162,191761,850,0,42899,191183,190333,850,8,4,4,574992,266672,164,33,0,131,0,0,164,0,0,0,0,1.78,0,54,92,18,0,0,0
3,93,20050524,1156,366,34,14,20070630,0.85,2.94,454731,113513,16720,380195,0,300232,148791,46838,0,54405,,54405,,,,0,,,1,7,2,,54405,107,106,0,1,0,106,1,0,0,11,0,0.75,27,80,0,0,0,0,0
1,198,20050511,1107,451,117,15,20090630,1.08,1.69,452486,98325,16401,313255,0,140420,124730,41673,0,80000,,80000,,,,,,,1,4,2,,80000,84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
1,198,20050511,1107,451,117,15,20100630,1.18,2.01,408222,35872,5107,310974,0,154826,121080,44028,0,80000,,80000,,,,,,,1,4,2,,80000,84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
4,198,20050511,1107,451,117,15,20080630,0.95,0.8,381563,51632,33656,311795,0,93804,156536,39444,0,80000,,80000,,,,,,,1,4,2,,80000,84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
1,441,20050415,302,122,125,13,20051231,5.25,2.72,5533406,0,24193,1048509,0,6287964,2518340,207381,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
1,441,20050415,302,122,125,13,20061231,1.59,2.08,2070171,0,9108,1294878,0,4079692,2272682,313483,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
1,441,20050415,302,122,125,13,20071231,1.2,3.22,2108731,79145,25596,1670255,0,3359080,1405132,362591,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
1,441,20050415,302,122,125,13,20081231,1.13,5.33,2151951,180576,20696,1720798,0,2647214,880301,383475,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
1,441,20050415,302,122,125,13,20091231,1.19,4.71,2141897,96791,18850,1708740,0,2259260,884948,405563,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
1,441,20050415,302,122,125,13,20101231,1.22,4.62,2334851,226909,7357,1716310,0,2183448,901749,428923,0,324255,0,324255,0,0,0,285617,285617,,11,3,0,248485,324255,250,250,0,0,0,0,250,0,0,0,0,3.57,0,0,0,107,143,0,0
2,530,20050414,849,160,31,15,20091231,1.06,0.43,374892,250860,2324,114584,0,126295,308362,14022,0,29976,,29976,,,,0,,,1,5,1,,29976,30,30,0,0,0,30,0,0,0,2,0,1.07,0,28,2,0,0,0,0
2,530,20050414,849,160,31,15,20101231,1.3,0.88,356214,206461,684,114546,0,139817,173973,14867,0,29976,,29976,,,,0,,,1,5,1,,29976,30,30,0,0,0,30,0,0,0,2,0,1.07,0,28,2,0,0,0,0
4,530,20050414,849,160,31,15,20071231,0.4,1.15,345571,291303,8482,114745,0,194309,180913,12472,0,29976,,29976,,,,0,,,1,5,1,,29976,30,30,0,0,0,30,0,0,0,2,0,1.07,0,28,2,0,0,0,0
4,530,20050414,849,160,31,15,20081231,0.78,1.04,129968,35139,4106,116022,0,184241,189928,13224,0,29976,,29976,,,,0,,,1,5,1,,29976,30,30,0,0,0,30,0,0,0,2,0,1.07,0,28,2,0,0,0,0
3,77,20050314,739,508,53,14,20061231,0.92,0.93,519826,29408,30977,501260,0,442317,527738,53675,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
3,60,20050110,848,366,34,15,20070630,0.88,1.74,537229,27240,48943,523204,0,299214,229692,57535,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
4,60,20050110,848,366,34,15,20100630,0.82,0.7,743460,312801,3734,523204,0,158712,295614,68054,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
4,542,20040826,1009,149,46,18,20061231,0,0.49,-115329,0,0,0,0,639897,1294537,1,0,10000,10000,,,,,0,,,,,,,10000,49,19,11,19,0,0,49,0,0,0,0,2.06,0,19,15,8,7,0,0
4,541,20040826,1029,149,46,18,20061231,0,0.19,-63930,0,0,0,0,279282,3064975,1,1619763,10000,10000,,,,,0,,,,,,,10000,52,40,5,7,0,0,52,0,0,0,0,2.44,0,10,21,9,12,0,0
5,147,20040625,260,122,89,14,20070630,0.73,0.39,277263,98412,14611,225331,0,48346,148016,23197,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
5,147,20040625,260,122,89,14,20080630,0.81,0.37,246868,36490,15428,240289,0,69317,212227,24679,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
2,147,20040625,260,122,89,14,20060630,1.06,0.55,242516,74376,8710,150221,0,47885,108586,21804,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
2,147,20040625,260,122,89,14,20090630,1.14,0.66,483632,203303,6108,240289,0,169942,283833,26256,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
2,147,20040625,260,122,89,14,20100630,1.05,0.62,291587,37622,1673,240289,0,119990,222950,27934,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
3,147,20040625,260,122,89,14,20051031,0.92,1,245521,28671,9358,225331,0,79988,100763,20922,0,41924,,41924,,,,0,,,7,2,0,,41924,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
1,367,20040611,372,67,112,13,20060930,1.04,1.5,319602,35688,17252,256535,0,147269,179305,81202,0,85360,,85360,,,,0,,,1,11,2,,85360,101,57,44,0,0,101,0,0,0,2,0,1,0,101,0,0,0,0,0
1,367,20040611,372,67,112,13,20080930,1.04,1.17,429341,149748,12414,256499,0,126464,198926,90847,0,85360,,85360,,,,0,,,1,11,2,,85360,101,57,44,0,0,101,0,0,0,2,0,1,0,101,0,0,0,0,0
1,367,20040611,372,67,112,13,20090930,1.05,1.43,374057,90116,5167,265795,0,140169,193975,96093,0,85360,,85360,,,,0,,,1,11,2,,85360,101,57,44,0,0,101,0,0,0,2,0,1,0,101,0,0,0,0,0
1,367,20040611,372,67,112,13,20100930,1.13,2.12,404937,101471,1329,266381,0,148501,171538,101642,0,85360,,85360,,,,0,,,1,11,2,,85360,101,57,44,0,0,101,0,0,0,2,0,1,0,101,0,0,0,0,0
4,367,20040611,372,67,112,13,20070930,0.99,0.96,328006,48432,15637,265959,0,151030,243758,85889,0,85360,,85360,,,,0,,,1,11,2,,85360,101,57,44,0,0,101,0,0,0,2,0,1,0,101,0,0,0,0,0
3,65,20040602,1142,366,34,14,20080630,0.94,0.83,660480,165037,28061,498485,0,82927,148878,49366,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
3,65,20040602,1142,366,34,14,20101231,0.94,0.97,524659,53131,3245,498485,0,121377,180668,56009,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
3,508,20040601,983,149,149,21,20081231,0.78,2.21,266431,0,1439,339007,0,536665,276444,34096,0,80000,80000,,,,,0,,,3,4,2,,80000,64,64,0,0,0,0,64,0,0,4,0,1.88,0,15,42,7,0,0,0
1,204,20040429,28,148,123,14,20051231,1.16,5.95,228014,17902,6294,175840,0,142665,40642,16670,0,4983,2395,2588,,,,,,,1,3,1,,4983,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
1,204,20040429,28,148,123,14,20061231,1.23,1.93,263720,29619,10158,182675,0,197621,121645,19195,0,4983,2395,2588,,,,,,,1,3,1,,4983,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
